event,n,unique25,unique75,n_good,unique25_good,unique75_good
0.0,4551,,,,,
1.0,1215,,,,,
2.0,1096,,,,,
3.0,2033,,,,,
4.0,625,,,,,
5.0,616,,,,,
6.0,810,,,,,
7.0,567,,,,,
8.0,655,,,,,
9.0,386,,,,,
10.0,884,,,,,
11.0,864,,,,,
12.0,722,,,,,
13.0,657,,,,,
14.0,495,,,,,
15.0,584,,,,,
16.0,664,,,,,
17.0,419,,,,,
18.0,393,,,,,
19.0,591,,,,,
20.0,359,,,,,
21.0,386,,,,,
22.0,325,,,,,
23.0,438,,,,,
24.0,289,,,,,
25.0,613,,,,,
26.0,792,,,,,
27.0,295,,,,,
28.0,372,,,,,
29.0,312,,,,,
30.0,314,,,,,
31.0,231,,,,,
32.0,317,,,,,
33.0,195,0.005128205128205128,0.03076923076923077,195.0,0.005128205128205128,0.03076923076923077
34.0,220,0.10454545454545454,0.17272727272727273,215.0,0.10232558139534884,0.16279069767441862
35.0,366,0.14207650273224043,0.18579234972677597,362.0,0.13812154696132597,0.17955801104972377
36.0,374,0.12032085561497326,0.18983957219251338,367.0,0.1226158038147139,0.1771117166212534
37.0,250,0.14,0.188,246.0,0.12601626016260162,0.17479674796747968
38.0,312,0.17307692307692307,0.266025641025641,304.0,0.17105263157894737,0.2598684210526316
39.0,49884,0.728,0.96,461.0,0.7483731019522777,0.96529284164859
40.0,175,0.04,0.05142857142857143,170.0,0.041176470588235294,0.041176470588235294
41.0,285,0.3649122807017544,0.4666666666666667,278.0,0.36330935251798563,0.4568345323741007
42.0,237,0.05063291139240506,0.11392405063291139,230.0,0.04782608695652174,0.1
43.0,1161,0.398,0.504,486.0,0.39300411522633744,0.49176954732510286
44.0,553,0.178,0.3,488.0,0.18032786885245902,0.29713114754098363
45.0,185,0.1891891891891892,0.3189189189189189,181.0,0.18232044198895028,0.30386740331491713
46.0,191,0.09424083769633508,0.16753926701570682,185.0,0.0918918918918919,0.16756756756756758
47.0,164,0.06097560975609756,0.07317073170731707,160.0,0.05,0.0625
48.0,182,0.14285714285714285,0.2307692307692308,175.0,0.14285714285714285,0.21714285714285714
49.0,166,0.12048192771084335,0.21686746987951808,166.0,0.12048192771084335,0.21686746987951808
